type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d_lat;geo_point_2d_long
SANISETTE;;face au 6 RUE DESNOUETTES;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.293417776948326, 48.8360452467052]], ""type"": ""MultiPoint""}";48.8360452467052;2.293417776948326
SANISETTE;;73  QUAI BRANLY;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.291104558604048, 48.8572621090066]], ""type"": ""MultiPoint""}";48.8572621090066;2.291104558604048
SANISETTE;;22  RUE GROS;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2754887611741776, 48.85129267928767]], ""type"": ""MultiPoint""}";48.85129267928767;2.2754887611741776
SANISETTE;;BOULEVARD SUCHET;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2682280857896977, 48.8623619666065]], ""type"": ""MultiPoint""}";48.8623619666065;2.2682280857896977
SANISETTE;;face au 38 AVENUE RAPHAEL;75016;24 h / 24;Oui;;;"{""coordinates"": [[2.2666990315751567, 48.85719279757155]], ""type"": ""MultiPoint""}";48.85719279757155;2.2666990315751567
SANISETTE;;2  SQUARE LAMARTINE;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.275158169830287, 48.86517142314814]], ""type"": ""MultiPoint""}";48.86517142314814;2.275158169830287
SANISETTE;;29  RUE ERNESTINE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.354609715503157, 48.89045444451694]], ""type"": ""MultiPoint""}";48.89045444451694;2.354609715503157
SANISETTE;;RUE DE L'EVANGILE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3612146991132668, 48.89149999854925]], ""type"": ""MultiPoint""}";48.89149999854925;2.3612146991132668
SANISETTE;;25  AVENUE DE FLANDRE;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.3703659880495707, 48.8857730296856]], ""type"": ""MultiPoint""}";48.8857730296856;2.3703659880495707
SANISETTE;;131  RUE D AVRON;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.409258092200669, 48.85331628203857]], ""type"": ""MultiPoint""}";48.85331628203857;2.409258092200669
SANISETTE;;BOULEVARD MORTIER;75020;24 h / 24;Oui;;;"{""coordinates"": [[2.4069893470423978, 48.87594431896408]], ""type"": ""MultiPoint""}";48.87594431896408;2.4069893470423978
SANISETTE;;4  RUE SALOMON DE CAUS;75003;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3540203755216, 48.8673644300438]], ""type"": ""MultiPoint""}";48.8673644300438;2.3540203755216
SANISETTE;;face au 2 RUE AUBRY LE BOUCHER;75004;24 h / 24;Oui;;;"{""coordinates"": [[2.3503977464705406, 48.86021286930935]], ""type"": ""MultiPoint""}";48.86021286930935;2.3503977464705406
SANISETTE;;4  RUE JUSSIEU;75005;24 h / 24;Oui;;;"{""coordinates"": [[2.3548721941649307, 48.8462252162963]], ""type"": ""MultiPoint""}";48.8462252162963;2.3548721941649307
SANISETTE;;AVENUE DE L OBSERVATOIRE;75006;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3372284244281887, 48.84222410041659]], ""type"": ""MultiPoint""}";48.84222410041659;2.3372284244281887
SANISETTE;;opposé au 44 AVENUE GABRIEL;75008;24 h / 24;Oui;;;"{""coordinates"": [[2.3127602072223277, 48.86947095623878]], ""type"": ""MultiPoint""}";48.86947095623878;2.3127602072223277
SANISETTE;;face au 1 BOULEVARD DE LA VILLETTE;75010;24 h / 24;Oui;;;"{""coordinates"": [[2.3766279527566168, 48.87227961943139]], ""type"": ""MultiPoint""}";48.87227961943139;2.3766279527566168
SANISETTE;;133  BOULEVARD DE CHARONNE;75011;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3924513613233898, 48.8574937065637]], ""type"": ""MultiPoint""}";48.8574937065637;2.3924513613233898
SANISETTE;;7  RUE JOSEPH CHAILLEY;75012;6 h - 1 h;Oui;;;"{""coordinates"": [[2.4040143796336726, 48.833225950058825]], ""type"": ""MultiPoint""}";48.833225950058825;2.4040143796336726
SANISETTE;;4  BOULEVARD DIDEROT;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.369251752524061, 48.84528888185513]], ""type"": ""MultiPoint""}";48.84528888185513;2.369251752524061
SANISETTE;;95  BOULEVARD DE PORT ROYAL;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.341805766447191, 48.83827022970236]], ""type"": ""MultiPoint""}";48.83827022970236;2.341805766447191
SANISETTE;;70  BOULEVARD JOURDAN;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3288565134356696, 48.8226298513054]], ""type"": ""MultiPoint""}";48.8226298513054;2.3288565134356696
TOILETTES;;JARDIN DES GRANDS MOULINS - ABBE PIERRE - JARDIN CENTRAL;75013;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardins-abbe-pierre-grands-moulins-5044;"{""coordinates"": [[2.379618709145078, 48.82961672332092]], ""type"": ""MultiPoint""}";48.82961672332092;2.379618709145078
TOILETTES;;JARDIN RACHMANINOV;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-rachmaninov-2681;"{""coordinates"": [[2.3638154557978934, 48.89555859772795]], ""type"": ""MultiPoint""}";48.89555859772795;2.3638154557978934
TOILETTES;;PARC KELLERMANN;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-kellermann-1794;"{""coordinates"": [[2.354932919267666, 48.81857909941943]], ""type"": ""MultiPoint""}";48.81857909941943;2.354932919267666
TOILETTES;;PARC GEORGES BRASSENS;75015;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/parc-georges-brassens-1805;"{""coordinates"": [[2.2999509072008073, 48.83162153031164]], ""type"": ""MultiPoint""}";48.83162153031164;2.2999509072008073
TOILETTES;;JARDIN MEDIEVAL DU MUSEE DE CLUNY;75005;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-paul-painleve-2444;"{""coordinates"": [[2.344087165220879, 48.85081103484684]], ""type"": ""MultiPoint""}";48.85081103484684;2.344087165220879
TOILETTES;;PARC MONTSOURIS;75014;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""coordinates"": [[2.3409114177677277, 48.821396880331896]], ""type"": ""MultiPoint""}";48.821396880331896;2.3409114177677277
TOILETTES;;SQUARE LEON SERPOLLET;75018;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-leon-serpollet-2665;"{""coordinates"": [[2.3391013151326856, 48.89225644637528]], ""type"": ""MultiPoint""}";48.89225644637528;2.3391013151326856
